name,slug,thumb,copy,images,link_name,link
Loblaw Canada,,,,,,
Intuit,,,,,,
Model playground,model-playground,assets/thumbs/model-playground.jpg,"When foundation models are reached only through an API, the hard part is translation: how do you make invisible intelligence visible enough to trust and act on? Enterprise buyers across Defense, Public Sector, Insurance, Healthcare, and Finance aren’t buying an algorithm — they’re buying certainty about their own data. Model Playground is the constructed environment where that certainty gets built: users prompt the models directly, orchestrate custom demos, and assemble tools that drop into their real workflows, watching abstract capability become something observable and legible.

I led the design team as both Lead Product Designer and Product Manager, working alongside engineering to define what was possible and push on what was worth building. The guiding decision was to treat the product as a flexible architecture rather than a fixed interface — users request the input and output representations they need and the system reshapes around them. That one principle lets Model Playground serve three audiences at once: sales teams tailoring an analytical walkthrough to each customer meeting, the design team pressure-testing new patterns as the models evolve, and the on-premise Defense and Public Sector deployments built out from this environment, all resting on a shared design system.",assets/images/model-playground/01.jpg | assets/images/model-playground/02.jpg | assets/images/model-playground/03.jpg | assets/images/model-playground/04.jpg | assets/images/model-playground/05.jpg | assets/images/model-playground/06.jpg | assets/images/model-playground/07.jpg | assets/images/model-playground/08.jpg | assets/images/model-playground/09.jpg,,
Lazarus Brand Identity,lazarus-ai-pubsec-brand,assets/thumbs/lazarus-ai-pubsec-brand.jpg,"Lazarus AI builds foundation models for the world’s hardest problems, and does it in stealth. The brief was an identity that signals precision and capability without ever raising its voice — a system where the work speaks and the marketing recedes, because these customers care about results above all else. Every decision runs through that lens: a radically minimal website showing only a key visual, one bold statement, obfuscated client logos, and a single call to action, paired with a verbal identity built to be clear, concise, and quietly exact.

The design team established the brand from the ground up, codifying five pillars — Cool, Capable, Critical, Premium, Inevitable — and translating them into a full visual language: wireframe and dithered textures for engineered elegance, gradient-contour data visualization accented by a single Neon Ember Orange highlight, and strict monochrome discipline so color, when it appears, carries weight. An atomic component library — down to the chamfered chip container and a purpose-built icon set, used sparingly and never as decoration — keeps the system sharp as it scales. The result positions Lazarus AI as a company that doesn’t need to explain itself, and it lands with enterprise buyers across Defense, Public Sector, and Healthcare who value substance over spectacle.",assets/images/lazarus-ai-pubsec-brand/key-visual.jpg,,
Talent Management,talent-management,assets/thumbs/talent-management.jpg,"Talent management comes down to one stubborn human problem: putting the right person in the right role while weighing skills, constraints, context, and a hundred intangibles. For Defense and Federal organizations that process runs for weeks or months and directly gates readiness. The design question wasn’t whether AI could replace that judgment — it was whether a system could amplify it, explaining and justifying every step so decision-makers can move with confidence.

This is an on-prem deployment of ATLS, Lazarus AI’s agentic orchestration platform, applied to assignment. It evaluates the full pool of candidates and open positions against the customer’s own methodology and returns ranked, scored recommendations with the rationale surfaced at every level — constraint toggles for refining the pool, side-by-side candidate comparisons, and explainability woven throughout so teams always know why a match was made. The interface is layered from a dashboard overview down into individual results, keeping speed and transparency in the same view. In production it cut talent-management cycle times from months to minutes — over 100,000% faster — without giving up accuracy or the human judgment that makes the call defensible, and it has since been adapted for a Federal organization matching agents to mission-critical objectives.",assets/images/talent-management/01.jpg | assets/images/talent-management/02.jpg | assets/images/talent-management/03.jpg | assets/images/talent-management/04.jpg | assets/images/talent-management/05.jpg | assets/images/talent-management/06.jpg,v1 Demonstration video,https://www.linkedin.com/posts/lazarus-ai_talentmanagement-federalgovernment-dod-ugcPost-7342930978916491265-lggZ
Whitelist,whitelist,assets/thumbs/whitelist.jpg,"In the field, speed and certainty are the same requirement. Operators need to identify drone technology on the spot — to flag a hostile system or confirm that a platform meets mission requirements — and they need to trust the answer enough to act on it. Whitelist brings ATLS, Lazarus AI’s agentic orchestration platform, into their hands through a mobile-first design, drawing on partnered drone research, production data, and open-source intelligence to return not just a verdict but verifiable reasoning.

The design work was about carrying the prompting and analysis patterns refined in Model Playground into a mobile architecture without losing consistency, so operators move between phone in the field and desktop at base camp with cognitive continuity. Rather than build a one-off, we used Whitelist to set the standard for how every Lazarus AI product will behave in field-deployed scenarios. It is currently in development and QA, heading into MVP testing with an initial cohort of 50 users.",assets/images/whitelist/01.jpg | assets/images/whitelist/02.jpg | assets/images/whitelist/03.jpg,,
USM: Milan Design Week 2025,,,,,,https://www.jobastudio.com/clients/usm-connected-by-our-dreams
Chatter Social,chatter-social,assets/thumbs/chatter-social.jpg,"Chatter Social is a real-time, group-first social platform for creators and communities to connect, perform, and grow through live audio-visual experiences. Most social products treat community as a layer bolted onto a feed, leaving creators to stitch together separate tools for engagement, monetization, and retention; social audio proved voice as a medium but stalled on discovery, depth, and real ways to earn.

Chatter pulls real-time streaming, group-based interaction, and creator monetization into one platform. Groups, Live Rooms, and Stream let creators host genuine conversations and perform live while the audience takes part rather than just watching, and built-in tools — RocketChats, subscriptions, ticketed events — let creators earn directly without spending community trust to do it. The work spans years of iteration and testing, and is shipped on the App Store.",assets/images/chatter-social/01.jpg | assets/images/chatter-social/02.jpg | assets/images/chatter-social/03.jpg | assets/images/chatter-social/04.jpg | assets/images/chatter-social/05.jpg | assets/images/chatter-social/06.jpg,Download now,https://apps.apple.com/app/id6470361217
Jet Protocol,jet-protocol,assets/thumbs/jet-protocol.jpg,"Jet Protocol launched fixed-rate, fixed-term lending on Solana just as that model was becoming a new frontier in decentralized finance — a market still writing its own rules, where users needed education and confidence in equal measure to navigate complex mechanics at blockchain speed. The question was how to build trust in a system that new.

I led the complete redesign of the platform, reworking the existing variable-rate lending experience and launching new products alongside it: fixed-term markets and an Orca LP integration with borrowing against wallet collateral. The interface had to hold several trading modes at once without the flows collapsing into complexity, and I refined the brand identity in the same pass to state plainly what the protocol offers — precision, accessibility, and reliability in a volatile space.",assets/images/jet-protocol/01.jpg | assets/images/jet-protocol/02.jpg | assets/images/jet-protocol/03.jpg | assets/images/jet-protocol/04.jpg | assets/images/jet-protocol/05.jpg | assets/images/jet-protocol/06.jpg | assets/images/jet-protocol/07.jpg | assets/images/jet-protocol/08.jpg | assets/images/jet-protocol/09.jpg | assets/images/jet-protocol/10.jpg | assets/images/jet-protocol/11.jpg | assets/images/jet-protocol/12.jpg | assets/images/jet-protocol/13.jpg | assets/images/jet-protocol/14.jpg | assets/images/jet-protocol/15.jpg | assets/images/jet-protocol/16.jpg | assets/images/jet-protocol/17.jpg | assets/images/jet-protocol/18.jpg,,
Novart,novart,assets/thumbs/novart.jpg,"Novart lets people use an art collection as loan collateral. It began as a way to buy from partner galleries in California, Florida, and New York against the piece being purchased or a collection already owned, and over time narrowed to a cleaner core: upload your collateral with supporting documentation and submit a loan request, with Novart sitting between lender and borrower.

The redesign replaced a single long application form with two upfront gates — location and minimum collateral value — that screen out likely denials before anyone invests time, then a short form that delivers the user to a dashboard. From there the work becomes manageable: the dashboard generates action items for each artwork, tracks the status of a loan offer, opens a line to lenders and admins, and handles review, acceptance, or decline. A heavy, front-loaded process becomes steps a user can pick up and put down.",assets/images/novart/01.jpg | assets/images/novart/02.jpg | assets/images/novart/03.jpg | assets/images/novart/04.jpg | assets/images/novart/05.jpg | assets/images/novart/06.jpg | assets/images/novart/07.jpg | assets/images/novart/08.jpg | assets/images/novart/09.jpg | assets/images/novart/10.jpg | assets/images/novart/11.jpg | assets/images/novart/12.jpg | assets/images/novart/13.jpg | assets/images/novart/14.jpg | assets/images/novart/15.jpg | assets/images/novart/16.jpg | assets/images/novart/17.jpg,,
Urvin Finance,urvin-finance,assets/thumbs/urvin-finance.jpg,"Urvin Finance’s Terminal puts advanced market data, information, and tools in the hands of everyday retail investors — a SaaS product with tiered subscriptions that scale from learner to active trader, letting users go deep on a security through its charts, data, and news. I led News, Education, and the early data and chart explorations, and supported communities, authentication, and data.

Education runs both inside the Terminal and free to everyone on a companion microsite built on Webflow CMS, hosting long- and short-form writing, audio, and video. Across the product the team moves between two modes as the situation calls for it — a design-driven, inside-out approach when there is little user data, leaning on sibling products like News to inform decisions that Alpha and Beta users then test, and a forecasting, design-thinking approach that keeps user needs central through prototyping and testing with tools like Sprig. A tight loop with Product and Engineering makes it possible to pivot quickly when the data or the build changes.",assets/images/urvin-finance/01.jpg | assets/images/urvin-finance/02.jpg | assets/images/urvin-finance/03.jpg | assets/images/urvin-finance/04.jpg | assets/images/urvin-finance/05.jpg,,
CoreLogic,corelogic,assets/thumbs/corelogic.jpg,"CoreLogic is known in real estate for its data and tools; my team at Soul Machines was asked to design and build the experience for its new Discovery Center in Texas, where executives explore data-driven visualizations of their real estate portfolios across use cases like churn, hazards, and liens. The design problem was letting users understand risk from a national view down to a single property while keeping the relevant data in sight to guide decisions.

The experience is multi-modal by necessity, scaling between a 6×3 angled video wall with a touch-screen input table at the Discovery Center and a desktop breakpoint for executives working remotely. Cora, a digital person representing CoreLogic, acts as the user’s chief of staff — manipulating filters and facets, surfacing insight on what is on screen, her dialogue designed alongside the product so conversation and interface reinforce each other.",assets/images/corelogic/01.jpg | assets/images/corelogic/02.jpg | assets/images/corelogic/03.jpg | assets/images/corelogic/04.jpg,,
Nestlé,nestle,assets/thumbs/nestle.jpg,"Nestlé’s Digital Baking Coach is an AI-guided baking experience led by Ruth, a digital person who walks people at home through making the perfect chocolate chip cookies. Beyond the guided bake, the coach helps users find recipes from ingredients they already have and shop within the experience for what they will need next time — turning a product demonstration into something people actually want to spend time with.",assets/images/nestle/01.jpg | assets/images/nestle/02.jpg | assets/images/nestle/03.jpg | assets/images/nestle/04.jpg,,
USM: Hue+Man Design Miami,usm-hue-man,assets/thumbs/usm-hue-man.jpg,"HUE+MAN is a global design competition and traveling installation dedicated to expanding resources and access for BIPOC creatives across the design industry — a collaboration between Kevin Jones’s Virginia-based Joba Studio and Swiss furniture maker USM, whose modular systems have been in production for over fifty years. The partnership formed in mid-2020 as support for the Black Lives Matter movement intensified, around Jones’s observation that less than 1% of the furniture produced by leading brands is designed by Black designers.

“The term HUE+MAN stands for Culture + Humanity,” Jones explains; “Hue is an old term for culture.” Shown at Design Miami, the installation immerses viewers in that idea — design as a form of expression, but also of empowerment and symbolism, and a way to build awareness and prompt difficult conversations.",assets/images/usm-hue-man/01.gif | assets/images/usm-hue-man/02.jpg | assets/images/usm-hue-man/03.jpg | assets/images/usm-hue-man/04.jpg | assets/images/usm-hue-man/05.jpg | assets/images/usm-hue-man/06.jpg,,
